ADM2_Name,T1 Displacement Ratio,T2 composite_score,T3 composite_score,T4 composite_score,T5 Demographic Shock Factor,T6 composite_score,T7 composite_score,T8 composite_score
Akkar,0.032186729652512,0.3111321179825634,0.8632620610793593,0.4971670704380327,0.0118694617946299,0.8681514796458866,0.5015026603314275,0.2915033203444366
Aley,0.2627103407403461,0.2432167869950895,0.4368683312220671,0.561510059854447,0.309951904167216,0.4572905925348506,0.4254487435478827,0.5415964055219314
Baabda,0.0425904810169348,0.509622190188979,0.3789594793708827,0.5608233122512865,0.173487076178447,0.4045515196904812,0.436212320999835,0.4688038500187438
Baalbek,0.0564982570660982,0.4464955192330833,0.8165356910869331,0.3610238318116783,0.018316439214482,0.4710199634687479,0.3973678816982003,0.3334683718068328
Bcharre,0.0143598461125525,0.0005363542037069,0.5417275373150279,0.143954258239842,0.0015402957389372,0.2472126028243101,0.2661105721886156,0.2748124412056086
Beirut,0.1577769710570608,0.291354525803734,0.240890530693225,0.6161274450028751,0.912994606868335,0.2800200690596241,0.3939004535691641,0.5860749922178825
Bent Jbeil,0.0020822410306344,0.3887175014107912,0.5687050658870956,0.0839690752044342,0.0003339745612098,0.1484041805189228,0.3131797646935178,0.4001825810676878
Chouf,0.5280042295648059,0.1209369529432804,0.3867264373251876,0.4849573574501687,0.37288453784489,0.4406302843409421,0.234961339643473,0.5943618409764966
El Batroun,0.0111350196367576,0.0413634696739242,0.3351934413334648,0.0998997031272176,0.0049157750575908,0.379856177729024,0.1747649117376397,0.1778007189023193
El Hermel,0.0282088768930874,0.1876972658841707,1.0,0.4275552529801982,0.0016953867303637,0.4219008930617967,0.5404331447405704,0.3948413362576325
El Koura,0.065562716248632,0.0489116116898035,0.3351775707478123,0.5456913344462466,0.0372388869314057,0.3552277083276871,0.6597355597555865,0.3286663522573939
El Meten,0.0356154156577885,0.2238527364623202,0.2240991088353287,0.4096028715214153,0.0360428350128727,0.4686680488830742,0.453577985558562,0.4695896366332315
El Minieh-Dennie,0.0541154550209205,0.1762878232499073,0.7607460464521789,0.315379831795732,0.0113978520641987,0.3838281184487766,0.1939553996647272,0.4893732606670004
El Nabatieh,0.0093720752513673,0.5274566127039482,0.4976191856714902,0.4028640935377948,0.0017468626256874,0.1772645990758144,0.4322630234548164,0.2953139854460095
Hasbaya,0.0670704117503741,0.1606155382771385,0.5816025709656464,0.3315420422647622,0.0422739285262979,0.383762467914836,0.3969308914681695,0.4674812129011702
Jbeil,0.1501332746064412,0.0710488395854178,0.3612901205737119,0.2042233921283961,0.108656326236893,0.4126179986815187,0.2910474583865603,0.1695430660856282
Jezzine,0.345296086423435,0.1091392843193475,0.3519846097692118,0.1086501114171705,0.117727255776759,0.3539824185769918,0.3581785627960328,0.1923013842447185
Kesrwane,0.0653451759234551,0.1849263604915529,0.213830525382972,0.5145767794841546,0.0517227808630392,0.3795359629793502,0.6477093404275325,0.4087995531110934
Marjaayoun,0.0076340502877915,0.518433054851411,0.5154800988772745,0.0983180047129035,0.0013293990966245,0.2674210362660902,0.1086308137606213,0.4774163822678096
Rachaya,0.1425595734044326,0.0638682359799198,0.4872891976507763,0.4200738031585274,0.0350583907561031,0.3993797141231687,0.2619869851417541,0.3687989851443934
Saida,0.3457778336624496,0.459579865386988,0.5204660068606346,0.5524571217440339,0.3291896270312227,0.1402745586679447,0.3225791711539585,0.6487308594742716
Sour,0.0942664919989025,0.4031199660707967,0.553248201211197,0.4617011277404524,0.030815220119826,0.132465495877021,0.4581007298148095,0.3024534989816506
Tripoli,0.0190967120514578,0.5732254336540774,0.7965181343038978,0.6213586385357617,0.0111143370023308,0.3683727598164444,0.1757579714674031,0.7301366963108107
West Bekaa,0.0211770221227135,0.1547496518503048,0.5851351837248007,0.4272432720065043,0.0080607279199497,0.4171726184246171,0.3816778285909295,0.5514945604551191
Zahle,0.0399632841238604,0.2483936074919906,0.5965634224134957,0.193568601688898,0.0188168696016428,0.4658369757132555,0.1876403317279485,0.2887016001299664
Zgharta,0.0685829839253276,0.0920623753745585,0.493947216837562,0.2000704391034947,0.0642083220805059,0.3450979682696366,0.3179075211768319,0.3528813740137488
